epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
266,439.174,0.57058,1.04987,0.46537,0.93025,1,0.99391,0.995,0.73383,1,0.99391,0.995,0.70944,0.95671,1.59538,0.56161,1.22997,0.000251,0.000251,0.000251
267,440.566,0.5892,1.13976,0.50416,0.92595,1,0.99373,0.995,0.73285,1,0.99373,0.995,0.6957,0.96569,1.61774,0.56026,1.23842,0.0002444,0.0002444,0.0002444
268,442.068,0.62296,1.10778,0.5378,0.94794,1,0.99474,0.995,0.74423,1,0.99474,0.995,0.69382,0.91356,1.62499,0.53191,1.17826,0.0002378,0.0002378,0.0002378
269,443.453,0.59526,1.14655,0.48137,0.94998,1,0.99352,0.995,0.75503,1,0.99352,0.995,0.71829,0.90722,1.61681,0.51697,1.16036,0.0002312,0.0002312,0.0002312
270,444.889,0.53699,1.08004,0.48093,0.92619,1,0.99322,0.995,0.75163,1,0.99322,0.995,0.72277,0.90196,1.59545,0.49962,1.14893,0.0002246,0.0002246,0.0002246
271,446.318,0.57258,1.15005,0.49795,0.90791,1,0.98997,0.995,0.76582,1,0.98997,0.995,0.73329,0.89724,1.57496,0.48744,1.14034,0.000218,0.000218,0.000218
272,447.772,0.53088,0.97817,0.42664,0.89148,1,0.98938,0.995,0.76209,1,0.98938,0.995,0.72545,0.89087,1.58612,0.47997,1.13192,0.0002114,0.0002114,0.0002114
273,449.218,0.58678,1.22812,0.49863,0.94045,1,0.99137,0.995,0.75049,1,0.99137,0.995,0.73096,0.88681,1.61049,0.46792,1.1283,0.0002048,0.0002048,0.0002048
274,450.648,0.54361,1.08305,0.46069,0.91279,1,0.9969,0.995,0.73156,1,0.9969,0.995,0.70653,0.88519,1.62281,0.45056,1.13208,0.0001982,0.0001982,0.0001982
275,452.208,0.5661,1.1401,0.48868,0.91923,1,0.99988,0.995,0.72712,1,0.99988,0.995,0.68853,0.88448,1.63363,0.4693,1.14139,0.0001916,0.0001916,0.0001916
276,453.688,0.55483,1.13071,0.47622,0.90258,0.99663,1,0.995,0.7358,0.99663,1,0.995,0.69626,0.90287,1.61872,0.47092,1.15535,0.000185,0.000185,0.000185
277,455.032,0.55328,1.1083,0.4783,0.93694,0.99602,1,0.995,0.73384,0.99602,1,0.995,0.6977,0.92048,1.61419,0.48137,1.16384,0.0001784,0.0001784,0.0001784
278,456.812,0.59463,1.11198,0.50326,0.92447,0.9959,1,0.995,0.74331,0.9959,1,0.995,0.70772,0.92843,1.60733,0.48348,1.1608,0.0001718,0.0001718,0.0001718
279,459.003,0.53234,1.14381,0.45723,0.92407,0.99648,1,0.995,0.74025,0.99648,1,0.995,0.70814,0.93876,1.59355,0.48773,1.16765,0.0001652,0.0001652,0.0001652
280,461.522,0.533,1.05861,0.47841,0.91435,1,0.99979,0.995,0.73308,1,0.99979,0.995,0.69858,0.9651,1.56167,0.50717,1.18731,0.0001586,0.0001586,0.0001586
281,463.767,0.58122,1.16316,0.46629,0.92126,1,0.99726,0.995,0.74881,1,0.99726,0.995,0.68813,0.96199,1.54663,0.50567,1.19358,0.000152,0.000152,0.000152
282,465.774,0.61235,1.13964,0.4805,0.93927,1,0.99522,0.995,0.74843,1,0.99522,0.995,0.71872,0.95907,1.53512,0.50687,1.19959,0.0001454,0.0001454,0.0001454
283,467.745,0.63875,1.25584,0.5097,0.9617,1,0.99336,0.995,0.74372,1,0.99336,0.995,0.73238,0.97261,1.53084,0.52178,1.21517,0.0001388,0.0001388,0.0001388
284,469.748,0.59325,1.10702,0.47104,0.93946,1,0.99213,0.995,0.73592,1,0.99213,0.995,0.73099,0.98546,1.54107,0.53032,1.23268,0.0001322,0.0001322,0.0001322
285,471.67,0.49923,1.00098,0.43717,0.90948,0.99312,0.92857,0.98265,0.73461,0.99312,0.92857,0.98265,0.71762,0.99544,1.54161,0.53692,1.23796,0.0001256,0.0001256,0.0001256
286,473.652,0.52737,1.10111,0.43687,0.92095,0.99286,0.92857,0.98265,0.74004,0.99286,0.92857,0.98265,0.71784,1.00484,1.54048,0.53942,1.24006,0.000119,0.000119,0.000119
287,475.658,0.56091,1.12648,0.44579,0.92058,0.99118,0.92857,0.97944,0.73896,0.99118,0.92857,0.97944,0.70834,1.01614,1.5427,0.5416,1.24306,0.0001124,0.0001124,0.0001124
288,477.79,0.5558,1.07322,0.46907,0.9052,0.98995,0.92857,0.97944,0.7391,0.98995,0.92857,0.97944,0.70207,1.02719,1.55595,0.54819,1.24711,0.0001058,0.0001058,0.0001058
289,479.738,0.58756,1.14158,0.49469,0.91083,0.99067,0.92857,0.97944,0.73961,0.99067,0.92857,0.97944,0.68054,1.0246,1.56713,0.54498,1.24461,9.92e-05,9.92e-05,9.92e-05
290,481.353,0.55159,1.03535,0.46916,0.91601,0.98994,0.92857,0.98265,0.74846,0.98994,0.92857,0.98265,0.68619,1.01786,1.58109,0.53987,1.24507,9.26e-05,9.26e-05,9.26e-05
291,512.339,0.61866,1.18443,0.7213,0.9311,0.99086,0.92857,0.98625,0.74474,0.99086,0.92857,0.98625,0.6843,1.01649,1.59395,0.53242,1.24765,8.6e-05,8.6e-05,8.6e-05
292,513.782,0.61557,1.17193,0.67514,0.93302,1,0.99132,0.995,0.7364,1,0.99132,0.995,0.68507,0.99075,1.66108,0.50228,1.24047,7.94e-05,7.94e-05,7.94e-05
293,515.17,0.55147,1.00465,0.64426,0.87409,1,0.99403,0.995,0.73311,1,0.99403,0.995,0.67728,0.99634,1.68315,0.49172,1.24798,7.28e-05,7.28e-05,7.28e-05
294,516.454,0.55476,1.09954,0.62026,0.90783,1,0.99475,0.995,0.72958,1,0.99475,0.995,0.67719,0.98014,1.70025,0.49555,1.24079,6.62e-05,6.62e-05,6.62e-05
295,517.76,0.54439,1.04562,0.51977,0.8799,1,0.99477,0.995,0.72497,1,0.99477,0.995,0.67564,0.95987,1.70727,0.50457,1.23226,5.96e-05,5.96e-05,5.96e-05
296,519.156,0.52578,1.12398,0.52418,0.87502,1,0.99515,0.995,0.72878,1,0.99515,0.995,0.67079,0.91131,1.72002,0.51144,1.20516,5.3e-05,5.3e-05,5.3e-05
297,520.54,0.58094,1.21168,0.60191,0.90415,1,0.99564,0.995,0.72534,1,0.99564,0.995,0.67406,0.90376,1.73067,0.51102,1.19328,4.64e-05,4.64e-05,4.64e-05
298,521.88,0.54775,1.01264,0.49553,0.85582,1,0.99584,0.995,0.7317,1,0.99584,0.995,0.67434,0.89923,1.74185,0.51852,1.19141,3.98e-05,3.98e-05,3.98e-05
299,523.157,0.47419,1.03562,0.45253,0.87148,1,0.9971,0.995,0.73515,1,0.9971,0.995,0.67461,0.89591,1.74646,0.51962,1.1907,3.32e-05,3.32e-05,3.32e-05
300,524.498,0.51423,1.02002,0.52018,0.88328,1,0.99696,0.995,0.72917,1,0.99696,0.995,0.67216,0.89196,1.75644,0.51904,1.18327,2.66e-05,2.66e-05,2.66e-05
